t_us,openloop_el_angle_rad,sensor_raw,sensor_error
225,0.0,186,0
1459,-0.055012,187,0
2699,-0.110025,187,0
3947,-0.165037,189,0
5197,-0.220049,190,0
6447,-0.275061,192,0
7699,-0.330074,194,0
8947,-0.385086,195,0
10211,-0.440098,198,0
11447,-0.49511,201,0
12699,-0.550123,203,0
13947,-0.605135,206,0
15197,-0.660147,209,0
16447,-0.715159,211,0
17699,-0.770172,214,0
18947,-0.825184,216,0
20197,-0.880196,0,0
21447,-0.935208,219,0
22699,-0.99022,221,0
23947,-1.045233,3872,0
25198,-1.100245,224,0
26447,-1.155257,226,0
27699,-1.210269,228,0
28947,-1.265282,231,0
30197,-1.320294,233,0
31448,-1.375306,235,0
32705,-1.430318,237,0
33948,-1.48533,239,0
35197,-1.540343,241,0
36447,-1.595355,243,0
37699,-1.650367,245,0
38947,-1.705379,247,0
40197,-1.760392,250,0
41447,-1.815404,252,0
42699,-1.870416,255,0
43947,-1.925428,0,0
45197,-1.98044,261,0
46447,-2.035453,264,0
47699,-2.090465,267,0
48953,-2.145477,268,0
50197,-2.20049,272,0
51447,-2.255502,274,0
52699,-2.310514,277,0
53947,-2.365526,279,0
55198,-2.420538,283,0
56447,-2.475551,286,0
57699,-2.530563,290,0
58947,-2.585575,293,0
60197,-2.640587,296,0
61448,-2.6956,4095,0
62699,-2.750612,304,0
63947,-2.805624,0,0
65197,-2.860636,311,0
66447,-2.915648,314,0
67705,-2.970661,318,0
68947,-3.025673,320,0
70212,-3.080685,323,0
71447,-3.135697,327,0
72699,-3.19071,329,0
73947,-3.245722,332,0
75197,-3.300734,335,0
76448,-3.355746,338,0
77699,-3.410758,341,0
78947,-3.465771,344,0
80198,-3.520783,0,0
81447,-3.575795,0,0
82699,-3.630807,352,0
83947,-3.68582,4095,0
85197,-3.740832,358,0
86448,-3.795844,360,0
87699,-3.850856,363,0
88947,-3.905869,364,0
90197,-3.960881,366,0
91447,-4.015893,367,0
92699,-4.070905,368,0
93947,-4.125917,370,0
95197,-4.18093,372,0
96447,-4.235942,373,0
97705,-4.290954,376,0
98947,-4.345966,377,0
100197,-4.400979,380,0
101447,-4.455991,4095,0
102699,-4.511003,385,0
103947,-4.566015,3708,0
105197,-4.621027,4095,0
106447,-4.67604,392,0
107699,-4.731052,394,0
108953,-4.786064,396,0
110197,-4.841076,399,0
111447,-4.896089,402,0
112699,-4.951101,404,0
113947,-5.006113,407,0
115197,-5.061125,409,0
116447,-5.116138,411,0
117699,-5.17115,412,0
118947,-5.226162,414,0
120197,-5.281174,414,0
121447,-5.336186,4095,0
122699,-5.391199,0,0
123947,-5.446211,420,0
125196,-5.501223,4095,0
126446,-5.556235,424,0
127698,-5.611248,426,0
128946,-5.66626,429,0
130196,-5.721272,432,0
131446,-5.776284,435,0
132698,-5.831296,439,0
133946,-5.886309,442,0
135196,-5.941321,446,0
136446,-5.996333,449,0
137704,-6.051345,453,0
138946,-6.106358,457,0
140196,-6.16137,461,0
141452,-6.216382,3630,0
142698,-6.271394,467,0
143948,-6.326406,471,0
145198,-6.381419,3621,0
146454,-6.436431,477,0
147699,-6.491443,480,0
148948,-6.546455,484,0
150211,-6.601468,487,0
151448,-6.65648,491,0
152699,-6.711492,494,0
153948,-6.766504,497,0
155198,-6.821517,501,0
156448,-6.876529,504,0
157699,-6.931541,507,0
158948,-6.986553,3585,0
160198,-7.041565,513,0
161448,-7.096578,0,0
162699,-7.15159,517,0
163948,-7.206602,519,0
165198,-7.261614,3575,0
166448,-7.316627,523,0
167699,-7.371639,525,0
