t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,turns
599,0.0,187,0,51,128,1480,2
1860,-0.110025,3908,0,51,128,1480,2
3080,-0.220049,3907,0,51,128,1481,2
4338,-0.330074,3906,0,51,128,1481,2
5596,-0.440098,3904,0,51,128,1483,2
6832,-0.550123,3901,0,51,128,1480,2
8080,-0.660147,3898,0,51,128,1482,2
9338,-0.770172,3896,0,51,128,1480,2
10596,-0.880196,3891,0,51,128,1480,2
11836,-0.990221,3888,0,51,128,1480,2
13080,-1.100245,3884,0,51,128,1482,2
14338,-1.21027,3879,0,51,128,1482,2
15596,-1.320294,3875,0,51,128,1480,2
16832,-1.430319,3872,0,51,128,1480,2
18080,-1.540343,3868,0,51,128,1481,2
19344,-1.650367,3864,0,51,128,1480,2
20596,-1.760392,3861,0,51,128,1482,2
21838,-1.870416,3857,0,51,128,1480,2
23080,-1.980441,3853,0,51,128,1481,2
24338,-2.090465,3848,0,51,128,1481,2
25596,-2.20049,3845,0,51,128,1480,2
26832,-2.310514,3841,0,51,128,1480,2
28080,-2.420539,3836,0,51,128,1480,2
29338,-2.530563,3831,0,51,128,1478,2
30596,-2.640588,3827,0,51,128,1481,2
31849,-2.750612,3822,0,51,128,1479,2
33080,-2.860636,3818,0,51,128,1480,2
34338,-2.970661,3812,0,51,128,1479,2
35596,-3.080685,3807,0,51,128,1480,2
36832,-3.19071,3801,0,51,128,1480,2
38080,-3.300734,3796,0,51,128,1480,2
39338,-3.410759,3790,0,51,128,1479,2
40596,-3.520783,3783,0,51,128,1478,2
41832,-3.630808,3777,0,51,128,1479,2
43080,-3.740832,3771,0,51,128,1479,2
44345,-3.850857,3764,0,51,128,1478,2
45613,-3.960881,3759,0,51,128,1478,2
46831,-4.070906,3753,0,51,128,1479,2
48086,-4.18093,3747,0,51,128,1479,2
49338,-4.290955,3740,0,51,128,1479,2
50596,-4.400979,3735,0,51,128,1479,2
51831,-4.511003,3729,0,51,128,1477,2
53079,-4.621028,3724,0,51,128,1477,2
54338,-4.731052,3720,0,51,128,1479,2
55596,-4.841077,3715,0,51,128,1477,2
56831,-4.951101,3711,0,51,128,1478,2
58080,-5.061126,3706,0,51,128,1478,2
59344,-5.17115,3702,0,51,128,1479,2
60596,-5.281175,3698,0,51,128,1477,2
61831,-5.391199,3693,0,51,128,1478,2
63079,-5.501224,3689,0,51,128,1478,2
64343,-5.611248,3684,0,51,128,1478,2
65596,-5.721272,3679,0,51,128,1478,2
66831,-5.831297,3676,0,51,128,1478,2
68079,-5.941321,3673,0,51,128,1478,2
69337,-6.051346,3668,0,51,128,1477,2
70596,-6.16137,3665,0,51,128,1477,2
71831,-6.271395,3659,0,51,128,1478,2
73092,-6.381419,3655,0,51,128,1476,2
74351,-6.491444,3649,0,51,128,1478,2
75611,-6.601468,3644,0,51,128,1477,2
76845,-6.711493,3638,0,51,128,1478,2
78092,-6.821517,3632,0,51,128,1477,2
79350,-6.931541,3626,0,51,128,1478,2
80611,-7.041566,3619,0,51,128,1479,2
81851,-7.15159,3614,0,51,128,1477,2
83093,-7.261615,3607,0,51,128,1478,2
84350,-7.371639,3601,0,51,128,1478,2
85611,-7.481664,3595,0,51,128,1477,2
86845,-7.591688,3589,0,51,128,1476,2
88092,-7.701713,3581,0,51,128,1476,2
89350,-7.811737,3576,0,51,128,1478,2
90611,-7.921762,3571,0,51,128,1476,2
91845,-8.031786,3566,0,51,128,1477,2
93098,-8.14181,3560,0,51,128,1477,2
94356,-8.251835,3556,0,51,128,1477,2
95611,-8.361859,3551,0,51,128,1477,2
96852,-8.471884,3545,0,51,128,1475,2
98092,-8.581908,3540,0,51,128,1477,2
99351,-8.691933,3535,0,51,128,1477,2
100611,-8.801957,3532,0,51,128,1478,2
101851,-8.911982,3527,0,51,128,1478,2
103099,-9.022006,3523,0,51,128,1478,2
104350,-9.13203,3519,0,51,128,1477,2
105611,-9.242055,3515,0,51,128,1476,2
106845,-9.352079,3510,0,51,128,1477,2
108092,-9.462104,3507,0,51,128,1477,2
109350,-9.572128,3502,0,51,128,1477,2
110611,-9.682153,3498,0,51,128,1477,2
111845,-9.792177,3493,0,51,128,1478,2
