t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,diag_enabled,turns
669,0.0,3966,0,255,255,65535,0,2
1612,-0.110025,3967,0,255,255,65535,0,2
2751,-0.220049,3969,0,255,255,65535,0,2
3999,-0.330074,3972,0,255,255,65535,0,2
5272,-0.440098,3975,0,255,255,65535,0,2
6500,-0.550123,3979,0,255,255,65535,0,2
7745,-0.660147,3983,0,255,255,65535,0,2
8995,-0.770172,3987,0,255,255,65535,0,2
10272,-0.880196,3991,0,255,255,65535,0,2
11499,-0.990221,3996,0,255,255,65535,0,2
12745,-1.100245,4001,0,255,255,65535,0,2
14001,-1.21027,4005,0,255,255,65535,0,2
15272,-1.320294,4010,0,255,255,65535,0,2
16496,-1.430319,4015,0,255,255,65535,0,2
17745,-1.540343,4021,0,255,255,65535,0,2
18995,-1.650367,4025,0,255,255,65535,0,2
20272,-1.760392,4030,0,255,255,65535,0,2
21499,-1.870416,4035,0,255,255,65535,0,2
22745,-1.980441,4042,0,255,255,65535,0,2
23995,-2.090465,4046,0,255,255,65535,0,2
25272,-2.20049,4052,0,255,255,65535,0,2
26500,-2.310514,4057,0,255,255,65535,0,2
27745,-2.420539,4064,0,255,255,65535,0,2
28995,-2.530563,4069,0,255,255,65535,0,2
30272,-2.640588,4075,0,255,255,65535,0,2
31496,-2.750612,4081,0,255,255,65535,0,2
32751,-2.860636,4086,0,255,255,65535,0,2
33995,-2.970661,4092,0,255,255,65535,0,2
35272,-3.080685,1,0,255,255,65535,0,2
36500,-3.19071,7,0,255,255,65535,0,2
37745,-3.300734,13,0,255,255,65535,0,2
39001,-3.410759,19,0,255,255,65535,0,2
40272,-3.520783,24,0,255,255,65535,0,2
41500,-3.630808,30,0,255,255,65535,0,2
42745,-3.740832,34,0,255,255,65535,0,2
43995,-3.850857,39,0,255,255,65535,0,2
45280,-3.960881,44,0,255,255,65535,0,2
46500,-4.070906,49,0,255,255,65535,0,2
47751,-4.18093,54,0,255,255,65535,0,2
48995,-4.290955,58,0,255,255,65535,0,2
50272,-4.400979,64,0,255,255,65535,0,2
51503,-4.511003,68,0,255,255,65535,0,2
52750,-4.621028,72,0,255,255,65535,0,2
54001,-4.731052,75,0,255,255,65535,0,2
55271,-4.841077,80,0,255,255,65535,0,2
56500,-4.951101,84,0,255,255,65535,0,2
57744,-5.061126,88,0,255,255,65535,0,2
58995,-5.17115,93,0,255,255,65535,0,2
60272,-5.281175,98,0,255,255,65535,0,2
61500,-5.391199,102,0,255,255,65535,0,2
62744,-5.501224,108,0,255,255,65535,0,2
