t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,diag_enabled,turns
621,0.0,3967,0,51,128,1488,1,2
1871,-0.110025,128,0,51,128,1487,1,2
3092,-0.220049,126,0,51,128,1487,1,2
4348,-0.330074,123,0,51,128,1487,1,2
5594,-0.440098,120,0,51,128,1489,1,2
6845,-0.550123,116,0,51,128,1487,1,2
8092,-0.660147,112,0,51,128,1487,1,2
9348,-0.770172,108,0,51,128,1489,1,2
10594,-0.880196,103,0,51,128,1489,1,2
11845,-0.990221,99,0,51,128,1488,1,2
13092,-1.100245,94,0,51,128,1488,1,2
14348,-1.21027,90,0,51,128,1487,1,2
15594,-1.320294,85,0,51,128,1486,1,2
16845,-1.430319,80,0,51,128,1488,1,2
18092,-1.540343,74,0,51,128,1487,1,2
19348,-1.650367,70,0,51,128,1486,1,2
20594,-1.760392,65,0,51,128,1488,1,2
21851,-1.870416,59,0,51,128,1487,1,2
23092,-1.980441,54,0,51,128,1485,1,2
24348,-2.090465,48,0,51,128,1486,1,2
25594,-2.20049,43,0,51,128,1486,1,2
26845,-2.310514,37,0,51,128,1487,1,2
28092,-2.420539,31,0,51,128,1487,1,2
29348,-2.530563,25,0,51,128,1486,1,2
30594,-2.640588,20,0,51,128,1487,1,2
31845,-2.750612,15,0,51,128,1487,1,2
33092,-2.860636,9,0,51,128,1485,1,2
34354,-2.970661,3,0,51,128,1485,1,2
35594,-3.080685,4094,0,51,128,1487,1,2
36845,-3.19071,4088,0,51,128,1486,1,2
38092,-3.300734,4082,0,51,128,1485,1,2
39354,-3.410759,4076,0,51,128,1486,1,2
40594,-3.520783,4071,0,51,128,1485,1,2
41845,-3.630808,4066,0,51,128,1485,1,2
43098,-3.740832,4061,0,51,128,1486,1,2
44354,-3.850857,4056,0,51,128,1485,1,2
45598,-3.960881,4051,0,51,128,1485,1,2
46845,-4.070906,4046,0,51,128,1485,1,2
48091,-4.18093,4041,0,51,128,1485,1,2
49347,-4.290955,4036,0,51,128,1484,1,2
50600,-4.400979,4032,0,51,128,1485,1,2
51851,-4.511003,4027,0,51,128,1486,1,2
53091,-4.621028,4023,0,51,128,1484,1,2
54355,-4.731052,4019,0,51,128,1486,1,2
55593,-4.841077,4015,0,51,128,1484,1,2
56845,-4.951101,4011,0,51,128,1485,1,2
58091,-5.061126,4006,0,51,128,1484,1,2
59347,-5.17115,4001,0,51,128,1483,1,2
60623,-5.281175,3997,0,51,128,1484,1,2
61845,-5.391199,3992,0,51,128,1482,1,2
63091,-5.501224,3986,0,51,128,1483,1,2
64347,-5.611248,3981,0,51,128,1484,1,2
65606,-5.721272,3976,0,51,128,1484,1,2
66846,-5.831297,3970,0,51,128,1484,1,2
68091,-5.941321,3965,0,51,128,1483,1,2
69353,-6.051346,3959,0,51,128,1483,1,2
70593,-6.16137,3954,0,51,128,1483,1,2
71846,-6.271395,3949,0,51,128,1482,1,2
73120,-6.381419,3942,0,51,128,1482,1,2
74368,-6.491444,3936,0,51,128,1481,1,2
75629,-6.601468,3929,0,51,128,1482,1,2
76873,-6.711493,3924,0,51,128,1482,1,2
78104,-6.821517,3918,0,51,128,1482,1,2
79368,-6.931541,3912,0,51,128,1481,1,2
80636,-7.041566,3906,0,51,128,1482,1,2
81878,-7.15159,3901,0,51,128,1483,1,2
83110,-7.261615,3896,0,51,128,1481,1,2
84375,-7.371639,3891,0,51,128,1481,1,2
85629,-7.481664,3885,0,51,128,1481,1,2
86866,-7.591688,3881,0,51,128,1483,1,2
88104,-7.701713,3875,0,51,128,1481,1,2
89368,-7.811737,3871,0,51,128,1480,1,2
90629,-7.921762,3867,0,51,128,1480,1,2
91872,-8.031786,3863,0,51,128,1481,1,2
93110,-8.14181,3859,0,51,128,1481,1,2
94368,-8.251835,3855,0,51,128,1481,1,2
95629,-8.361859,3851,0,51,128,1479,1,2
96866,-8.471884,3846,0,51,128,1480,1,2
98110,-8.581908,3842,0,51,128,1480,1,2
99368,-8.691933,3837,0,51,128,1481,1,2
100629,-8.801957,3833,0,51,128,1481,1,2
101866,-8.911982,3828,0,51,128,1481,1,2
103104,-9.022006,3823,0,51,128,1479,1,2
104368,-9.13203,3818,0,51,128,1480,1,2
105636,-9.242055,3814,0,51,128,1480,1,2
106866,-9.352079,3808,0,51,128,1479,1,2
108104,-9.462104,3803,0,51,128,1480,1,2
109368,-9.572128,3797,0,51,128,1478,1,2
110629,-9.682153,3791,0,51,128,1479,1,2
111866,-9.792177,3784,0,51,128,1479,1,2
113104,-9.902202,3779,0,51,128,1479,1,2
114368,-10.012226,3772,0,51,128,1480,1,2
115629,-10.122251,3766,0,51,128,1479,1,2
116866,-10.232275,3759,0,51,128,1477,1,2
118104,-10.342299,3754,0,51,128,1479,1,2
119368,-10.452324,3748,0,51,128,1477,1,2
120626,-10.562348,3741,0,51,128,1478,1,2
121872,-10.672373,3736,0,51,128,1478,1,2
123110,-10.782397,3730,0,51,128,1479,1,2
124361,-10.892422,3725,0,51,128,1478,1,2
125626,-11.002446,3721,0,51,128,1478,1,2
126866,-11.112471,3715,0,51,128,1478,1,2
128104,-11.222495,3711,0,51,128,1478,1,2
129368,-11.33252,3707,0,51,128,1478,1,2
130626,-11.442544,3702,0,51,128,1478,1,2
131866,-11.552568,3698,0,51,128,1478,1,2
133104,-11.662593,3693,0,51,128,1478,1,2
134367,-11.772617,3689,0,51,128,1478,1,2
135626,-11.882642,3684,0,51,128,1477,1,2
136866,-11.992666,3680,0,51,128,1477,1,2
138103,-12.102691,3677,0,51,128,1477,1,2
139361,-12.212715,3673,0,51,128,1478,1,2
140625,-12.32274,3670,0,51,128,1479,1,2
141866,-12.432764,3665,0,51,128,1478,1,2
143109,-12.542789,3661,0,51,128,1479,1,2
144368,-12.652813,3655,0,51,128,1477,1,2
145636,-12.762837,3651,0,51,128,1478,1,2
146872,-12.872862,3645,0,51,128,1477,1,2
148104,-12.982886,3639,0,51,128,1476,1,2
149368,-13.092911,3633,0,51,128,1477,1,2
150629,-13.202935,3627,0,51,128,1479,1,2
151872,-13.31296,3621,0,51,128,1476,1,2
153110,-13.422984,3615,0,51,128,1478,1,2
154374,-13.533009,3609,0,51,128,1478,1,2
155636,-13.643033,3602,0,51,128,1477,1,2
156866,-13.753057,3596,0,51,128,1479,1,2
158104,-13.863082,3589,0,51,128,1477,1,2
159368,-13.973106,3583,0,51,128,1477,1,2
160629,-14.083131,3576,0,51,128,1478,1,2
161866,-14.193155,3572,0,51,128,1476,1,2
163104,-14.30318,3566,0,51,128,1478,1,2
164368,-14.413204,3561,0,51,128,1478,1,2
165629,-14.523229,3556,0,51,128,1477,1,2
166872,-14.633253,3551,0,51,128,1477,1,2
168104,-14.743278,3546,0,51,128,1476,1,2
169368,-14.853302,3541,0,51,128,1478,1,2
170629,-14.963326,3536,0,51,128,1477,1,2
171872,-15.073351,3532,0,51,128,1478,1,2
173104,-15.183375,3527,0,51,128,1478,1,2
174374,-15.2934,3524,0,51,128,1478,1,2
175629,-15.403424,3520,0,51,128,1477,1,2
176866,-15.513449,3515,0,51,128,1477,1,2
178104,-15.623473,3512,0,51,128,1478,1,2
179374,-15.733498,3508,0,51,128,1478,1,2
180629,-15.843522,3503,0,51,128,1477,1,2
181866,-15.953547,3498,0,51,128,1479,1,2
183104,-16.063572,3494,0,51,128,1477,1,2
184368,-16.173597,3488,0,51,128,1477,1,2
185636,-16.283623,3483,0,51,128,1478,1,2
186866,-16.393648,3477,0,51,128,1476,1,2
188104,-16.503674,3472,0,51,128,1479,1,2
189362,-16.613699,3466,0,51,128,1479,1,2
190628,-16.723724,3461,0,51,128,1479,1,2
191866,-16.83375,3455,0,51,128,1478,1,2
193104,-16.943775,3449,0,51,128,1477,1,2
194374,-17.053801,3443,0,51,128,1479,1,2
195628,-17.163826,3436,0,51,128,1479,1,2
196866,-17.273851,3430,0,51,128,1479,1,2
198104,-17.383877,3424,0,51,128,1479,1,2
199368,-17.493902,3419,0,51,128,1479,1,2
200629,-17.603928,3412,0,51,128,1481,1,2
201873,-17.713953,3407,0,51,128,1479,1,2
203103,-17.823978,3401,0,51,128,1480,1,2
204362,-17.934004,3396,0,51,128,1479,1,2
205628,-18.044029,3390,0,51,128,1478,1,2
206865,-18.154055,3385,0,51,128,1479,1,2
208103,-18.26408,3381,0,51,128,1478,1,2
209361,-18.374105,3377,0,51,128,1479,1,2
210626,-18.484131,3372,0,51,128,1480,1,2
211865,-18.594156,3368,0,51,128,1480,1,2
213109,-18.704182,3363,0,51,128,1479,1,2
214373,-18.814207,3358,0,51,128,1478,1,2
215629,-18.924232,3353,0,51,128,1479,1,2
216872,-19.034258,3348,0,51,128,1479,1,2
218104,-19.144283,3343,0,51,128,1480,1,2
219368,-19.254309,3339,0,51,128,1479,1,2
220629,-19.364334,3335,0,51,128,1479,1,2
221866,-19.47436,3330,0,51,128,1479,1,2
223110,-19.584385,3327,0,51,128,1479,1,2
224368,-19.69441,3322,0,51,128,1479,1,2
225629,-19.804436,3317,0,51,128,1480,1,2
226872,-19.914461,3312,0,51,128,1480,1,2
228104,-20.024487,3307,0,51,128,1480,1,2
229368,-20.134512,3301,0,51,128,1481,1,2
230629,-20.244537,3295,0,51,128,1481,1,2
231866,-20.354563,3289,0,51,128,1480,1,2
233104,-20.464588,3284,0,51,128,1480,1,2
234374,-20.574614,3278,0,51,128,1480,1,2
235629,-20.684639,3272,0,51,128,1481,1,2
236866,-20.794664,3267,0,51,128,1480,1,2
238104,-20.90469,3261,0,51,128,1479,1,2
239368,-21.014715,3255,0,51,128,1481,1,2
240629,-21.124741,3249,0,51,128,1480,1,2
241872,-21.234766,3243,0,51,128,1481,1,2
243104,-21.344791,3237,0,51,128,1481,1,2
244374,-21.454817,3232,0,51,128,1481,1,2
245629,-21.564842,3226,0,51,128,1481,1,2
246870,-21.674868,3222,0,51,128,1482,1,2
248104,-21.784893,3216,0,51,128,1480,1,2
249368,-21.894918,3211,0,51,128,1481,1,2
250636,-22.004944,3207,0,51,128,1481,1,2
251866,-22.114969,3202,0,51,128,1481,1,2
253104,-22.224995,3196,0,51,128,1481,1,2
254368,-22.33502,3191,0,51,128,1484,1,2
255629,-22.445045,3186,0,51,128,1481,1,2
256866,-22.555071,3181,0,51,128,1481,1,2
258104,-22.665096,3178,0,51,128,1480,1,2
259368,-22.775122,3172,0,51,128,1483,1,2
260628,-22.885147,3168,0,51,128,1482,1,2
261872,-22.995173,3164,0,51,128,1482,1,2
263103,-23.105198,3160,0,51,128,1482,1,2
264362,-23.215223,3155,0,51,128,1480,1,2
265628,-23.325249,3151,0,51,128,1484,1,2
266866,-23.435274,3145,0,51,128,1482,1,2
268104,-23.5453,3140,0,51,128,1482,1,2
269367,-23.655325,3135,0,51,128,1482,1,2
270626,-23.76535,3130,0,51,128,1481,1,2
271866,-23.875376,3125,0,51,128,1482,1,2
273104,-23.985401,3120,0,51,128,1482,1,2
274374,-24.095427,3114,0,51,128,1483,1,2
275628,-24.205452,3109,0,51,128,1482,1,2
276872,-24.315477,3103,0,51,128,1483,1,2
278109,-24.425503,3097,0,51,128,1484,1,2
279361,-24.535528,3091,0,51,128,1483,1,2
280626,-24.645554,3086,0,51,128,1483,1,2
281866,-24.755579,3081,0,51,128,1484,1,2
283103,-24.865604,3074,0,51,128,1483,1,2
284361,-24.97563,3069,0,51,128,1484,1,2
285626,-25.085655,3063,0,51,128,1484,1,2
286866,-25.195681,3058,0,51,128,1484,1,2
288104,-25.305706,3051,0,51,128,1484,1,2
289368,-25.415731,3046,0,51,128,1483,1,2
290629,-25.525757,3040,0,51,128,1483,1,2
291866,-25.635782,3036,0,51,128,1483,1,2
293104,-25.745808,3031,0,51,128,1485,1,2
294368,-25.855833,3026,0,51,128,1484,1,2
295629,-25.965858,3021,0,51,128,1484,1,2
296866,-26.075884,3016,0,51,128,1484,1,2
298111,-26.185909,3013,0,51,128,1484,1,2
299368,-26.295935,3006,0,51,128,1485,1,2
