t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
255,0.0,2557,0,255,255,65535,0,raw_only,2
1520,-0.110025,2556,0,255,255,65535,0,raw_only,2
2768,-0.220049,2552,0,255,255,65535,0,raw_only,2
4015,-0.330074,2551,0,255,255,65535,0,raw_only,2
5261,-0.440098,2551,0,255,255,65535,0,raw_only,2
6520,-0.550123,2553,0,255,255,65535,0,raw_only,2
7768,-0.660147,2557,0,255,255,65535,0,raw_only,2
9015,-0.770172,2561,0,255,255,65535,0,raw_only,2
10261,-0.880196,2565,0,255,255,65535,0,raw_only,2
11520,-0.990221,2569,0,255,255,65535,0,raw_only,2
12774,-1.100245,2574,0,255,255,65535,0,raw_only,2
14015,-1.21027,2580,0,255,255,65535,0,raw_only,2
15261,-1.320294,2585,0,255,255,65535,0,raw_only,2
16520,-1.430319,2590,0,255,255,65535,0,raw_only,2
17768,-1.540343,2048,0,255,255,65535,0,raw_only,2
19015,-1.650367,2601,0,255,255,65535,0,raw_only,2
20261,-1.760392,2606,0,255,255,65535,0,raw_only,2
21520,-1.870416,2610,0,255,255,65535,0,raw_only,2
22768,-1.980441,2613,0,255,255,65535,0,raw_only,2
24015,-2.090465,2618,0,255,255,65535,0,raw_only,2
25261,-2.20049,2623,0,255,255,65535,0,raw_only,2
26520,-2.310514,2629,0,255,255,65535,0,raw_only,2
27768,-2.420539,2634,0,255,255,65535,0,raw_only,2
29015,-2.530563,2639,0,255,255,65535,0,raw_only,2
30261,-2.640588,2645,0,255,255,65535,0,raw_only,2
31520,-2.750612,2651,0,255,255,65535,0,raw_only,2
32768,-2.860636,2657,0,255,255,65535,0,raw_only,2
34015,-2.970661,2661,0,255,255,65535,0,raw_only,2
35261,-3.080685,2667,0,255,255,65535,0,raw_only,2
36520,-3.19071,2673,0,255,255,65535,0,raw_only,2
37768,-3.300734,2048,0,255,255,65535,0,raw_only,2
39015,-3.410759,2684,0,255,255,65535,0,raw_only,2
40261,-3.520783,2691,0,255,255,65535,0,raw_only,2
41520,-3.630808,2696,0,255,255,65535,0,raw_only,2
42768,-3.740832,2702,0,255,255,65535,0,raw_only,2
44015,-3.850857,2707,0,255,255,65535,0,raw_only,2
45267,-3.960881,2712,0,255,255,65535,0,raw_only,2
46520,-4.070906,2716,0,255,255,65535,0,raw_only,2
47768,-4.18093,2722,0,255,255,65535,0,raw_only,2
49014,-4.290955,2726,0,255,255,65535,0,raw_only,2
50260,-4.400979,2732,0,255,255,65535,0,raw_only,2
51520,-4.511003,2737,0,255,255,65535,0,raw_only,2
52768,-4.621028,2742,0,255,255,65535,0,raw_only,2
54014,-4.731052,2747,0,255,255,65535,0,raw_only,2
55267,-4.841077,2048,0,255,255,65535,0,raw_only,2
56520,-4.951101,2756,0,255,255,65535,0,raw_only,2
57768,-5.061126,2048,0,255,255,65535,0,raw_only,2
59014,-5.17115,2048,0,255,255,65535,0,raw_only,2
60260,-5.281175,2769,0,255,255,65535,0,raw_only,2
61520,-5.391199,2775,0,255,255,65535,0,raw_only,2
62767,-5.501224,2780,0,255,255,65535,0,raw_only,2
64014,-5.611248,2786,0,255,255,65535,0,raw_only,2
65259,-5.721272,2791,0,255,255,65535,0,raw_only,2
66520,-5.831297,2797,0,255,255,65535,0,raw_only,2
67767,-5.941321,2801,0,255,255,65535,0,raw_only,2
69014,-6.051346,2806,0,255,255,65535,0,raw_only,2
70266,-6.16137,2810,0,255,255,65535,0,raw_only,2
71520,-6.271395,2815,0,255,255,65535,0,raw_only,2
72773,-6.381419,2821,0,255,255,65535,0,raw_only,2
74015,-6.491444,2826,0,255,255,65535,0,raw_only,2
75261,-6.601468,2048,0,255,255,65535,0,raw_only,2
76529,-6.711493,2838,0,255,255,65535,0,raw_only,2
77774,-6.821517,2844,0,255,255,65535,0,raw_only,2
79016,-6.931541,2048,0,255,255,65535,0,raw_only,2
80261,-7.041566,2855,0,255,255,65535,0,raw_only,2
81520,-7.15159,2860,0,255,255,65535,0,raw_only,2
82774,-7.261615,2865,0,255,255,65535,0,raw_only,2
84015,-7.371639,2870,0,255,255,65535,0,raw_only,2
85261,-7.481664,2876,0,255,255,65535,0,raw_only,2
86520,-7.591688,2880,0,255,255,65535,0,raw_only,2
87768,-7.701713,2886,0,255,255,65535,0,raw_only,2
89015,-7.811737,2892,0,255,255,65535,0,raw_only,2
90261,-7.921762,2897,0,255,255,65535,0,raw_only,2
91520,-8.031786,2902,0,255,255,65535,0,raw_only,2
92768,-8.14181,2906,0,255,255,65535,0,raw_only,2
94022,-8.251835,2910,0,255,255,65535,0,raw_only,2
95268,-8.361859,2047,0,255,255,65535,0,raw_only,2
96520,-8.471884,2048,0,255,255,65535,0,raw_only,2
97768,-8.581908,2048,0,255,255,65535,0,raw_only,2
99016,-8.691933,2047,0,255,255,65535,0,raw_only,2
100261,-8.801957,2937,0,255,255,65535,0,raw_only,2
101520,-8.911982,2942,0,255,255,65535,0,raw_only,2
102768,-9.022006,2947,0,255,255,65535,0,raw_only,2
104015,-9.13203,2952,0,255,255,65535,0,raw_only,2
105261,-9.242055,2956,0,255,255,65535,0,raw_only,2
106529,-9.352079,2961,0,255,255,65535,0,raw_only,2
107768,-9.462104,2965,0,255,255,65535,0,raw_only,2
109015,-9.572128,2970,0,255,255,65535,0,raw_only,2
110261,-9.682153,2975,0,255,255,65535,0,raw_only,2
111520,-9.792177,2981,0,255,255,65535,0,raw_only,2
112768,-9.902202,2986,0,255,255,65535,0,raw_only,2
114015,-10.012226,2992,0,255,255,65535,0,raw_only,2
115274,-10.122251,2997,0,255,255,65535,0,raw_only,2
116520,-10.232275,2048,0,255,255,65535,0,raw_only,2
117774,-10.342299,2048,0,255,255,65535,0,raw_only,2
119015,-10.452324,1084,0,255,255,65535,0,raw_only,2
