t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
561,0.0,2505,0,51,255,65535,1,status_raw,2
1738,-0.110025,2048,0,51,255,65535,1,status_raw,2
2977,-0.220049,1586,0,51,255,65535,1,status_raw,2
4242,-0.330074,1582,0,51,255,65535,1,status_raw,2
5483,-0.440098,1578,0,51,255,65535,1,status_raw,2
6731,-0.550123,1573,0,51,255,65535,1,status_raw,2
7977,-0.660147,1568,0,51,255,65535,1,status_raw,2
9236,-0.770172,1562,0,51,255,65535,1,status_raw,2
10476,-0.880196,1558,0,51,255,65535,1,status_raw,2
11731,-0.990221,1551,0,51,255,65535,1,status_raw,2
12977,-1.100245,1546,0,51,255,65535,1,status_raw,2
14236,-1.21027,1539,0,51,255,65535,1,status_raw,2
15476,-1.320294,1534,0,51,255,65535,1,status_raw,2
16731,-1.430319,1529,0,51,255,65535,1,status_raw,2
17977,-1.540343,1525,0,51,255,65535,1,status_raw,2
19236,-1.650367,1520,0,51,255,65535,1,status_raw,2
20482,-1.760392,1514,0,51,255,65535,1,status_raw,2
21731,-1.870416,1510,0,51,255,65535,1,status_raw,2
22977,-1.980441,1506,0,51,255,65535,1,status_raw,2
24236,-2.090465,1501,0,51,255,65535,1,status_raw,2
25483,-2.20049,1497,0,51,255,65535,1,status_raw,2
26731,-2.310514,1492,0,51,255,65535,1,status_raw,2
27977,-2.420539,1487,0,51,255,65535,1,status_raw,2
29242,-2.530563,1483,0,51,255,65535,1,status_raw,2
30476,-2.640588,1480,0,51,255,65535,1,status_raw,2
31731,-2.750612,1476,0,51,255,65535,1,status_raw,2
32989,-2.860636,1471,0,51,255,65535,1,status_raw,2
34236,-2.970661,1467,0,51,255,65535,1,status_raw,2
35476,-3.080685,1463,0,51,255,65535,1,status_raw,2
36731,-3.19071,1458,0,51,255,65535,1,status_raw,2
37977,-3.300734,1454,0,51,255,65535,1,status_raw,2
39236,-3.410759,1449,0,51,255,65535,1,status_raw,2
40476,-3.520783,1444,0,51,255,65535,1,status_raw,2
41731,-3.630808,1439,0,51,255,65535,1,status_raw,2
42977,-3.740832,1433,0,51,255,65535,1,status_raw,2
44236,-3.850857,1429,0,51,255,65535,1,status_raw,2
45476,-3.960881,1422,0,51,255,65535,1,status_raw,2
46730,-4.070906,1417,0,51,255,65535,1,status_raw,2
47983,-4.18093,1411,0,51,255,65535,1,status_raw,2
49242,-4.290955,1404,0,51,255,65535,1,status_raw,2
50476,-4.400979,1399,0,51,255,65535,1,status_raw,2
51736,-4.511003,1392,0,51,255,65535,1,status_raw,2
52983,-4.621028,1387,0,51,255,65535,1,status_raw,2
54235,-4.731052,1380,0,51,255,65535,1,status_raw,2
55476,-4.841077,1375,0,51,255,65535,1,status_raw,2
56731,-4.951101,1368,0,51,255,65535,1,status_raw,2
57983,-5.061126,1364,0,51,255,65535,1,status_raw,2
59236,-5.17115,1358,0,51,255,65535,1,status_raw,2
60476,-5.281175,1352,0,51,255,65535,1,status_raw,2
61737,-5.391199,1345,0,51,255,65535,1,status_raw,2
62976,-5.501224,1341,0,51,255,65535,1,status_raw,2
64241,-5.611248,1337,0,51,255,65535,1,status_raw,2
65481,-5.721272,1333,0,51,255,65535,1,status_raw,2
66730,-5.831297,1328,0,51,255,65535,1,status_raw,2
67976,-5.941321,1323,0,51,255,65535,1,status_raw,2
69235,-6.051346,1319,0,51,255,65535,1,status_raw,2
70475,-6.16137,1314,0,51,255,65535,1,status_raw,2
71736,-6.271395,1309,0,51,255,65535,1,status_raw,2
72990,-6.381419,1304,0,51,255,65535,1,status_raw,2
74237,-6.491444,1299,0,51,255,65535,1,status_raw,2
75476,-6.601468,1295,0,51,255,65535,1,status_raw,2
76737,-6.711493,1290,0,51,255,65535,1,status_raw,2
77984,-6.821517,1286,0,51,255,65535,1,status_raw,2
79237,-6.931541,1282,0,51,255,65535,1,status_raw,2
80477,-7.041566,1277,0,51,255,65535,1,status_raw,2
81732,-7.15159,1273,0,51,255,65535,1,status_raw,2
82977,-7.261615,1268,0,51,255,65535,1,status_raw,2
84237,-7.371639,1262,0,51,255,65535,1,status_raw,2
85476,-7.481664,1256,0,51,255,65535,1,status_raw,2
86731,-7.591688,1251,0,51,255,65535,1,status_raw,2
87977,-7.701713,1245,0,51,255,65535,1,status_raw,2
89236,-7.811737,1240,0,51,255,65535,1,status_raw,2
90477,-7.921762,1233,0,51,255,65535,1,status_raw,2
91737,-8.031786,1228,0,51,255,65535,1,status_raw,2
92977,-8.14181,1222,0,51,255,65535,1,status_raw,2
94243,-8.251835,1216,0,51,255,65535,1,status_raw,2
95485,-8.361859,1211,0,51,255,65535,1,status_raw,2
